,^N225,^GSPC/JPY,BTC/JPY
2021-08-30,27789.2890625,497555.5079670623,5169695.757839084
2021-08-31,28089.5390625,497241.5503502637,5185694.302015305
2021-09-01,28451.01953125,497903.2307392359,5375908.429418206
2021-09-02,28543.509765625,499500.0717491731,5430784.986680478
2021-09-03,29128.109375,498647.8692921661,5500039.839108467
2021-09-06,29659.890625,497826.95753763244,5777267.349678129
2021-09-07,29916.140625,496389.66962645575,5140798.162198752
2021-09-08,30181.2109375,497883.8345868699,5083695.910660386
2021-09-09,30008.189453125,495240.32178177685,5113169.843816042
2021-09-10,30381.83984375,489467.3716648668,4927400.461417884
2021-09-13,30447.369140625,491180.45989446715,4942116.34391883
2021-09-14,30670.099609375,488708.8348606378,5179891.740883946
2021-09-15,30511.7109375,491617.95266041905,5285860.77376917
2021-09-16,30323.33984375,489352.2107219696,5226687.35308826
2021-09-17,30500.05078125,486294.5846274048,5185199.506774396
2021-09-21,29839.7109375,476509.4692036733,4453393.652415454
2021-09-22,29639.400390625,479779.73440452665,4756114.043652177
2021-09-24,30248.810546875,491555.2682806812,4726338.104230881
2021-09-27,30240.060546875,492136.62062529847,4678198.447062761
2021-09-28,30183.9609375,482985.20876757056,4553356.898252338
2021-09-29,29544.2890625,486201.84999127686,4635590.302957475
2021-09-30,29452.66015625,482168.7889298424,4901777.43928358
2021-10-01,28771.0703125,485640.03341156244,5363162.33559823
2021-10-04,28444.890625,477123.12524911016,5448929.107386917
2021-10-05,27822.119140625,482235.8908799663,5716495.832980156
2021-10-06,27528.869140625,486479.07494455576,6172081.862018824
2021-10-07,27678.2109375,490190.44362939894,5994686.245545745
2021-10-08,28048.939453125,490345.80088990927,6026157.9433375
2021-10-11,28498.19921875,489630.78008145466,6453817.0750742555
2021-10-12,28230.609375,493311.4932512939,6354383.579191923
2021-10-13,28140.279296875,495374.177776441,6516115.043679535
2021-10-14,28550.9296875,502859.28081156313,6494586.070435941
2021-10-15,29068.630859375,508993.94428245723,7011485.59281081
2021-10-18,29025.4609375,512910.0373471156,7091069.200345874
2021-10-19,29215.51953125,516525.9177086055,7344182.012482882
2021-10-20,29255.55078125,519588.80113609135,7559017.358454466
2021-10-21,28708.580078125,520444.75956654176,7116159.346812367
2021-10-22,28804.849609375,517436.84694686905,6909814.348797202
2021-10-25,28600.41015625,519044.38718917966,7165358.6723434925
2021-10-26,29106.009765625,520450.98600171506,6867286.870246708
2021-10-27,29098.240234375,519747.272025235,6677986.981670558
2021-10-28,28820.08984375,522962.27751994133,6897344.286513805
2021-10-29,28892.689453125,523244.82839766145,7070092.2865713835
2021-11-01,29647.080078125,527047.1974769086,6968899.3560984135
